Lebensmittel;Einheit;kcal;PRO;FAT;KH;FIB;GI;Standard;LiquidMl;Kategorie;Zusatzinfo;vitA;vitB1;vitB2;vitB3;vitB5;vitB6;vitB7;vitB9;vitB12;vitC;vitD;vitE;vitK;calcium;chlorid;eisen;fluorid;kalium;kupfer;magnesium;mangan;natrium;phosphor;schwefel;zink;VGN;VGT;LC;HP;KET;GF;LF;ZF
"McPlant";100g;235;12;10;27;2.5;50;200;;Fast Food;"McDonald's: Burger mit pflanzlichem Fleischersatz-Patty.";;;;;;;;;;;;;;;;;;;;;;;;;;J;J;N;N;N;N;N;N
"McRib";100g;280;13.5;13.5;26;1.2;62;180;;Fast Food;"McDonald's: Grilliertes Schweinefleisch-Sandwich mit BBQ-Soße.";;;;;;;;;;;;;;;;;;;;;;;;;;N;N;N;N;N;N;N;N
"McPlant Nuggets";100g;210;11;9;22;1.5;58;100;;Fast Food;"McDonald's: Knusprige pflanzliche Nuggets.";;;;;;;;;;;;;;;;;;;;;;;;;;J;J;N;N;N;N;N;N
"Pommes klein";100g;320;4.6;15.8;40;2.4;73;75;;Fast Food;"Portionsgröße ca. 75g, frittiert.";;;;;;;;;;;;;;;;;;;;;;;;;;J;J;N;N;N;J;J;N
"Pommes mittel";100g;320;4.6;15.8;40;2.4;73;117;;Fast Food;"Portionsgröße ca. 117g, frittiert.";;;;;;;;;;;;;;;;;;;;;;;;;;J;J;N;N;N;J;J;N
"Pommes groß";100g;320;4.6;15.8;40;2.4;73;180;;Fast Food;"Portionsgröße ca. 180g, frittiert.";;;;;;;;;;;;;;;;;;;;;;;;;;J;J;N;N;N;J;J;N
"McFlurry";100g;155;3.5;4.8;25;0;65;140;;Fast Food;"McDonald's: Eiscreme-Dessert mit Sirupsoße oder Keks-Mix.";;;;;;;;;;;;;;;;;;;;;;;;;;N;J;N;N;N;N;N;N
"McNuggets";100g;250;16;15;14;0.8;55;100;;Fast Food;"McDonald's: Panierte Chicken McNuggets.";;;;;;;;;;;;;;;;;;;;;;;;;;N;N;N;J;N;N;N;N
"Zitronentee ungesüßt";100ml;2;0.1;0.1;0.4;0;;300;100;Getränke;"Gebrühter Schwarz- oder Früchtetee mit Zitronensaft, ohne Zuckerzusatz";;;0.01;0.1;;0.01;;2;;3;;;0.1;2;1;0.02;0.01;20;0.01;2;0.05;2;1;1;0.01;J;J;J;N;J;J;J;J
"Hühnerei";100g;155;12.6;11.2;1.1;0;;60;;Sonstiges;"Nährwerte für ein ganzes Hühnerei. Ein XL-Ei wiegt ca. 73g oder mehr.";190;0.06;0.41;0.1;1.2;0.12;25;45;1.1;;1.3;1.3;9;50;170;1.8;0.03;140;0.06;12;0.03;140;180;190;1.1;N;J;J;J;J;J;J;J
"Tiefkühlpizza Margherita";100g;245;9.5;8.8;31.5;2.2;70;350;;Fertiggerichte;"Durchschnittswerte für eine handelsübliche Tiefkühlpizza Margherita.";45;0.12;0.15;1.8;0.3;0.1;1.5;25;0.4;2;0.1;0.8;5;150;450;1.2;0.02;180;0.1;25;0.2;580;160;80;1.1;N;J;N;N;N;N;N;N
"Tiefkühlpizza Salami";100g;256;10.5;11.2;27.5;2.1;70;350;;Fertiggerichte;"Durchschnittswerte für eine klassische Salami-Pizza aus der Tiefkühlung.";45;0.15;0.12;2.2;0.4;0.1;2.5;22;0.6;1.5;0.1;0.8;4.5;125;640;1.2;0.02;180;0.1;25;0.2;580;185;110;1.1;N;N;N;N;N;N;N;N
"Tiefkühlpizza Thunfisch";100g;235;11.2;9.5;25.5;2.2;70;350;;Fertiggerichte;"Durchschnittswerte für eine klassische Steinofen-Thunfischpizza aus der Tiefkühlung.";45;0.12;0.15;3.8;0.3;0.15;1.2;25;1.1;1.5;0.8;1.2;4.5;90;580;1.2;0.02;210;0.08;25;0.15;550;180;110;0.9;N;N;N;N;N;N;N;N
"Tiefkühlpizza Hawaii";100g;230;9.5;9.2;26.5;2.1;60;350;;Fertiggerichte;"Durchschnittswerte für eine handelsübliche TK-Pizza Hawaii mit Schinken und Ananas.";45;0.1;0.15;1.2;;0.1;;15;0.4;3;;0.8;5;120;450;1.2;;180;;20;;550;150;;0.8;N;N;N;N;N;N;N;N
"Potato Wedges TK";100g;145;2.2;5.5;20.5;2.5;75;200;;Fertiggerichte;"Werte können je nach Panade und Vorfrittierung variieren. Durchschnitt für Backofen-Produkte.";2;0.08;0.03;1.2;0.3;0.25;0.1;15;;12;;0.8;3;12;110;0.8;0.02;410;0.1;22;0.15;350;45;25;0.3;J;J;N;N;N;J;J;N
"Hüttenkäse 0,8 %";100g;67;12.4;0.8;2.6;0;10;200;;Käse;"Fettarme Variante von körnigem Frischkäse. Hoher Proteingehalt bei geringem Kalorienanteil.";4;0.03;0.18;0.1;0.2;0.04;1.5;12;0.6;;0.05;0.01;0.1;75;450;0.1;0.02;80;0.02;10;0.01;400;140;14;0.5;N;J;N;J;N;J;N;J
"Mozzarella light 8,5 %";100g;165;20.5;8.5;1.5;0;;125;;Käse;"Fettarme Variante des klassischen italienischen Weichkäses. Hoher Proteingehalt.";110;0.02;0.25;0.1;0.2;0.05;2.5;15;1.6;;0.2;0.1;1.5;450;250;0.2;0.02;80;0.01;20;0.01;180;350;210;2.5;N;J;N;J;N;J;N;J
"Bratwurst (Geflügel)";100g;230;16;18;1;0;0;100;;Fleisch&Wurst;"Geringerer Fettgehalt als Schwein";0;0.1;0.15;4.5;0;0.3;0;0;0.5;0;0;0.2;2;15;0;1.5;0;250;0;20;0;850;180;0;2.5;N;J;J;J;J;J;J;J
"Leberkäsebrät";100g;250;14;20;2;0;0;150;;Fleisch&Wurst;"Enthält Nitritpökelsalz";0.01;0.08;0.15;3.5;0.4;0.1;0.003;0.005;0.0005;0;0.0001;0.2;0;10;800;1.5;0.01;200;0.05;15;0.02;700;180;150;1.2;N;N;N;N;N;J;J;N
"Putenhaxe";100g;115;19.5;4.1;0;0;0;;;Fleisch&Wurst;"Reich an Protein";0.005;0.08;0.18;6.5;0.6;0.3;0.002;0.008;0.0004;0;0.0001;0.1;0;12;70;1.8;0.01;280;0.06;25;0.03;60;220;200;1.5;N;N;J;J;J;J;J;J
"Paprika rot";100g;37;1.3;0.5;6.4;3.6;15;;;Gemüse;"Reich an Vitamin C";0.18;0.05;0.03;0.6;0.1;0.2;0.001;0.02;0;140;0;0.5;0.007;10;20;0.4;0.005;175;0.03;12;0.08;3;25;15;0.2;J;J;N;N;N;J;J;N
"Brühpulver";100g;195;9.5;4.5;24;0.5;60;;;Sonstiges;"Hoher Salzgehalt";0;0.01;0.01;0.5;0.1;0.02;0;0.002;0;0;0;0;0;5;1500;0.2;0;100;0.01;5;0.01;1000;50;20;0.1;N;N;N;N;N;N;J;N
"Puteneintopf";100ml;64;8.7;1.8;2.7;1;30;300;100;Eigene;"Durchschnittswerte für einen hausgemachten Puteneintopf mit Fleisch und Gemüse. Salzgehalt kann variieren.";450;0.06;0.1;3.5;0.4;0.3;1.5;15;0.4;8;0.1;0.5;12;28;450;0.9;0.02;245;0.1;22;0.15;380;95;60;1.1;N;N;J;N;N;J;J;J
"Kaffee mit Milch";100ml;16;0.8;0.7;1.2;0;10;200;100;Getränke;"Durchschnittswerte für schwarzen Kaffee mit einem Schuss Milch (1,5% Fett).";8;0.01;0.05;0.2;0.1;0.01;0.5;1;0.1;0.3;0.02;0.02;0.1;30;26;0.04;0.02;85;0.01;10;0.03;12;22;8;0.1;N;J;N;N;N;J;N;N
"Rote Paprika";100g;37;1.3;0.5;6.4;3.6;;;;Gemüse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Putenschnitzel mit Champignons";100g;79;10.2;3.4;1.9;0.8;0;620;;Fleisch&Wurst;"Werte für gebratenes Putenschnitzel mit frischen Champignons ohne Panade oder Sahnesauce.";2;0.08;0.25;9.5;1.2;0.55;4;12;1.1;1;0.3;0.3;1;8;80;1.1;0.02;380;0.1;28;0.08;65;210;240;1.6;N;N;J;J;J;J;J;J
"Bratwurst Geflügel";100g;230;16;18;1;0;;100;;Fleisch&Wurst;"Geringerer Fettgehalt als Schwein";;0.1;0.15;4.5;;0.3;;;0.5;;;0.2;2;15;;1.5;;250;;20;;850;180;;2.5;N;J;J;J;J;J;J;J
"Pils";100ml;42;0.5;0;3.1;0;;330;100;Getränke;"Untergäriges Bier mit ca. 4,8% Vol. Alkohol. Alkohol liefert ca. 7 kcal/g und ist hier nicht in den Makros enthalten.";;0.005;0.03;0.6;0.04;0.05;3;6;0.02;;;;0.5;4;12;0.02;0.04;42;0.005;7;0.01;5;14;5;0.01;J;J;J;N;N;N;J;J
"Weizenbier (Hefeweizen)";100ml;48;0.6;0;3.7;0;;500;100;Getränke;"Obergäriges Weizenbier mit ca. 5,2% Vol. Alkohol. Hefehaltig, daher mehr B-Vitamine als Pils.";;0.02;0.05;0.8;0.1;0.07;5;10;0.05;;;;0.5;5;14;0.05;0.04;55;0.01;9;0.02;5;18;6;0.02;J;J;J;N;N;N;J;J
"Helles";100ml;43;0.5;0;3.4;0;;330;100;Getränke;"Untergäriges Lagerbier mit ca. 5,0% Vol. Alkohol, mild und süffig.";;0.005;0.03;0.6;0.05;0.05;3;6;0.02;;;;0.5;4;12;0.02;0.04;45;0.005;8;0.01;5;15;5;0.01;J;J;J;N;N;N;J;J
"Kölsch";100ml;42;0.5;0;3.2;0;;200;100;Getränke;"Obergäriges, helles Bier aus Köln mit ca. 4,8% Vol. Alkohol.";;0.005;0.03;0.5;0.04;0.05;3;6;0.02;;;;0.5;4;12;0.02;0.04;42;0.005;7;0.01;5;14;5;0.01;J;J;J;N;N;N;J;J
"Schwarzbier";100ml;45;0.5;0;3.8;0;;330;100;Getränke;"Dunkles, untergäriges Bier mit ca. 4,8% Vol. Alkohol, malziger Geschmack.";;0.01;0.04;0.7;0.05;0.06;3;7;0.03;;;;0.5;5;13;0.05;0.04;50;0.02;9;0.03;6;16;6;0.02;J;J;J;N;N;N;J;J
"Weißwein trocken";100ml;82;0.1;0;0.6;0;;100;100;Getränke;"Trockener Weißwein mit ca. 12% Vol. Alkohol. Restzucker gering.";;0.005;0.01;0.07;0.03;0.02;1;0.4;;0;;;0;9;10;0.3;;80;0.01;9;0.1;5;15;10;0.07;J;J;J;N;N;J;J;J
"Rotwein trocken";100ml;85;0.1;0;0.6;0;;100;100;Getränke;"Trockener Rotwein mit ca. 12,5% Vol. Alkohol. Enthält Polyphenole und Resveratrol.";;0.005;0.03;0.2;0.03;0.06;2;1;0.01;0;;;0;8;12;0.5;;130;0.04;12;0.2;5;20;10;0.1;J;J;J;N;N;J;J;J
"Roséwein";100ml;83;0.1;0;1;0;;100;100;Getränke;"Roséwein mit ca. 11,5% Vol. Alkohol, leicht süßlich.";;0.005;0.02;0.1;0.03;0.04;2;1;0.005;0;;;0;9;10;0.4;;90;0.02;10;0.15;5;17;10;0.08;J;J;J;N;N;J;J;J
"Sekt";100ml;80;0.2;0;1.5;0;;100;100;Getränke;"Deutscher Schaumwein mit ca. 11% Vol. Alkohol, brut bis trocken.";;0.005;0.01;0.1;0.03;0.02;1;0.5;;0;;;0;9;10;0.3;;75;0.01;8;0.05;5;14;10;0.07;J;J;J;N;N;J;J;J
"Süßer Weißwein";100ml;120;0.2;0;8;0;;100;100;Getränke;"Lieblicher/süßer Weißwein (z.B. Riesling Spätlese) mit ca. 9-11% Vol. Alkohol und höherem Restzucker.";;0.005;0.01;0.1;0.03;0.02;1;0.5;;0;;;0;10;10;0.3;;90;0.01;10;0.1;5;15;10;0.07;J;J;N;N;N;J;J;N
"Vodka";100ml;231;0;0;0;0;0;40;100;Getränke;"Klarer Schnaps mit ca. 40% Vol. Alkohol. Praktisch keine Nährstoffe, nur Alkoholkalorien (~7 kcal/g).";;;;;;;;;;;;;;;;;;1;;;1;;;;;J;J;J;N;N;J;J;J
"Tequila";100ml;231;0;0;0;0;0;40;100;Getränke;"Klarer Agavenschnaps mit ca. 38-40% Vol. Alkohol.";;;;;;;;;;;;;;;;0.05;;2;;;1;;5;;;J;J;J;N;N;J;J;J
"Whisky";100ml;250;0;0;0.1;0;0;40;100;Getränke;"Brauner Schnaps aus Getreide mit ca. 40-43% Vol. Alkohol.";;0.005;;;;;;;;;;;;1;1;0.02;;2;0.02;1;0.01;3;3;;0.02;J;J;J;N;N;N;J;J
"Rum";100ml;231;0;0;0.1;0;0;40;100;Getränke;"Schnaps aus Zuckerrohr/Melasse mit ca. 37-40% Vol. Alkohol.";;;;;;;;;;;;;;;1;0.05;;2;0.01;1;0.01;3;3;;0.02;J;J;J;N;N;J;J;J
"Gin";100ml;263;0;0;0;0;0;40;100;Getränke;"Wacholderschnaps mit ca. 40-47% Vol. Alkohol.";;;;;;;;;;;;;;;;;;1;;;1;;;;;J;J;J;N;N;J;J;J
"Jägermeister";100ml;229;0;0.1;19;0;;20;100;Getränke;"Kräuterlikör mit 35% Vol. Alkohol und ca. 19g Zucker pro 100ml.";;;;;;;;;;;;;;5;5;0.1;;15;0.02;5;0.05;5;5;;0.05;J;J;N;N;N;J;J;N
"Sambuca";100ml;240;0;0;19;0;;20;100;Getränke;"Italienischer Anisschnaps mit ca. 38-42% Vol. Alkohol und ~19g Zucker.";;;;;;;;;;;;;;5;3;0.05;;5;0.01;3;0.02;3;3;;0.02;J;J;N;N;N;J;J;N
"Korn";100ml;231;0;0;0;0;0;40;100;Getränke;"Klarer Getreidebrand mit ca. 32-38% Vol. Alkohol.";;;;;;;;;;;;;;;1;0.02;;2;0.01;1;0.01;3;3;;0.02;J;J;J;N;N;N;J;J
"Ouzo";100ml;220;0;0;6;0;;20;100;Getränke;"Griechischer Anisschnaps mit ca. 37-40% Vol. Alkohol und etwas Zucker.";;;;;;;;;;;;;;3;3;0.05;;3;0.01;2;0.02;3;3;;0.02;J;J;J;N;N;J;J;N
"Grappa";100ml;231;0;0;0;0;0;40;100;Getränke;"Italienischer Tresterbrand mit ca. 38-45% Vol. Alkohol.";;;;;;;;;;;;;;;1;0.02;;2;0.01;1;0.01;3;3;;0.02;J;J;J;N;N;J;J;J
